순위,노래 제목,아티스트,좋아요
1,나는 아픈 건 딱 질색이니까,(여자)아이들,"74,693"
2,밤양갱,비비 (BIBI),"115,794"
3,첫 만남은 계획대로 되지 않아,TWS (투어스),"92,536"
4,EASY,LE SSERAFIM (르세라핌),"56,562"
5,Love wins all,아이유,"147,280"
6,To. X,태연 (TAEYEON),"134,966"
7,비의 랩소디,임재현,"60,541"
8,홀씨,아이유,"43,177"
9,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"89,137"
10,천상연,이창섭,"26,085"
11,Smart,LE SSERAFIM (르세라핌),"25,729"
12,Love 119,RIIZE,"88,700"
13,Perfect Night,LE SSERAFIM (르세라핌),"111,197"
14,에피소드,이무진,"62,876"
15,헤어지자 말해요,박재정,"166,790"
16,Drama,aespa,"82,553"
17,인사,범진,"102,139"
18,예뻤어,DAY6 (데이식스),"285,736"
19,사랑은 늘 도망가,임영웅,"211,180"
20,한 페이지가 될 수 있게,DAY6 (데이식스),"248,661"
21,Seven (feat. Latto) - Clean Ver.,정국,"206,442"
22,꿈,태연 (TAEYEON),"32,519"
23,Shopper,아이유,"36,860"
24,Super Lady,(여자)아이들,"31,224"
25,MANIAC,VIVIZ (비비지),"48,897"
26,I AM,IVE (아이브),"211,514"
27,Wife,(여자)아이들,"30,408"
28,WAY 4 LUV,PLAVE,"33,303"
29,Love Lee,AKMU (악뮤),"119,730"
30,너의 모든 순간,성시경,"293,498"
31,모래 알갱이,임영웅,"58,641"
32,사랑인가 봐,멜로망스,"204,192"
33,우리들의 블루스,임영웅,"103,717"
34,Get A Guitar,RIIZE,"86,919"
35,Hype Boy,NewJeans,"286,829"
36,사막에서 꽃을 피우듯,우디 (Woody),"82,852"
37,Welcome to the Show,DAY6 (데이식스),"17,989"
38,Do or Die,임영웅,"41,072"
39,Baddie,IVE (아이브),"67,259"
40,다시 만날 수 있을까,임영웅,"84,465"
41,Super Shy,NewJeans,"160,990"
42,이제 나만 믿어요,임영웅,"173,997"
43,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"76,691"
44,Watch Me Woo!,PLAVE,"24,405"
45,퀸카 (Queencard),(여자)아이들,"142,580"
46,You & Me,제니 (JENNIE),"67,739"
47,무지개,임영웅,"73,281"
48,우리 영화,PLAVE,"24,141"
49,사랑할 수밖에,볼빨간사춘기,"33,008"
50,봄날,방탄소년단,"559,804"
