,메뉴,가격
0,이남장 설렁탕,"7,900"
1,제육돈까스 도련님,"4,900"
2,김피탕,"5,500"
3,사골 조랭이떡 만둣국,"5,900"
4,한우 함박스테이크 & 반달 돈까스,"8,900"
5,한우함박스테이크&토네이도소세지,"8,900"
6,해바라기,"10,000"
7,매화,"10,500"
8,진달래,"8,000"
9,개나리,"8,700"
10,돈까스도련님 고기고기,"6,600"
11,탕수육도련님 고기고기,"6,100"
12,새치 고기고기,"7,100"
13,돈치 고기고기,"6,100"
14,카츠카츠,"4,900"
15,숯불직화구이,"6,800"
16,소불고기,"5,700"
17,메가치킨제육,"7,800"
18,칠리 찹쌀탕수육도련님,"4,500"
19,동백,"6,200"
20,치킨제육,"5,000"
21,돈까스도련님,"4,900"
22,제육볶음,"4,700"
23,돈치스팸,"5,000"
24,송정식 떡갈비,"6,900"
25,제육 김치찌개 정식,"8,800"
26,제육 김치 부대찌개 정식,"9,200"
27,돈치스팸 김치 부대찌개 정식,"9,200"
28,빅치킨마요 김치 부대찌개 정식,"8,200"
29,치킨마요 김치 부대찌개 정식,"7,600"
30,빅치킨마요 김치찌개 정식,"7,700"
31,치킨마요 김치찌개 정식,"7,100"
32,빅새치마요,"4,700"
33,새치마요,"4,100"
34,메가스팸마요,"5,900"
35,스팸마요,"4,000"
36,메가치킨마요,"6,200"
37,왕치킨마요,"5,100"
38,빅치킨마요,"4,400"
39,치킨마요,"3,800"
40,참치마요,"3,600"
41,돈치마요,"4,100"
42,돈까스 카레,"4,800"
43,잡채볶음밥(중화풍 매운맛),"5,500"
44,잡채볶음밥(오리지널),"5,300"
45,스팸 김치볶음밥,"4,900"
46,김치볶음밥,"4,100"
47,스팸 철판볶음밥,"4,900"
48,소불고기 철판볶음밥,"5,100"
49,나시고랭,"6,300"
50,묵은지 김치찌개,"5,000"
51,김치 부대찌개,"6,100"
52,핫 치즈 닭갈비덮밥,"6,000"
53,오리지널 치즈 닭갈비덮밥,"6,000"
54,숯불직화구이 덮밥,"6,000"
55,마파두부 덮밥,"5,000"
56,왕카레돈까스덮밥,"6,100"
57,새우돈까스 덮밥,"4,400"
58,돈까스 덮밥,"4,300"
59,아보카도 소불고기 명란 비빔밥,"6,700"
60,소불고기 감초고추장 비빔밥,"5,600"
61,시골제육 두부강된장 비빔밥,"5,400"
62,참치야채 감초고추장 비빔밥,"3,700"
63,튼튼도시락,"5,200"
64,반찬 묵은지김치찌개,"4,400"
65,반찬 카레,"2,900"
66,반찬 순살 고등어 간장구이,"3,900"
67,반찬 김치 부대찌개,"4,900"
68,반찬 치킨,"3,800"
69,반찬 고기고기,"3,600"
70,반찬 돈까스도련님,"4,100"
71,반찬 제육볶음,"3,500"
72,반찬 토네이도 소세지,"3,200"
73,반찬 돈까스,"2,900"
74,치즈버터 해시 포테이토 스틱,"2,200"
75,허니버터 해시 포테이토 스틱,"2,200"
76,해시 포테이토 스틱,"2,000"
77,뉴 감자고로케,"2,700"
78,미니 찹쌀핫도그,"2,800"
79,미니 찹쌀탕수육,"2,300"
80,케이준후라이,"1,900"
81,통현미 닭강정(소),"3,500"
82,통현미 닭강정(중),"8,500"
83,후라이드 순살(중),"7,500"
84,후라이드 순살(소)_양념치킨소스,"4,000"
85,후라이드 순살(소)_케이준소스,"4,000"
86,3종 미니반찬B,"1,300"
87,3종 미니반찬A,"1,300"
88,오징어젓갈,600
89,한솥 두부강된장소스,"1,800"
90,한솥 감초볶음고추장소스,500
91,볶음김치,500
92,김치,400
93,무말랭이 무침,500
94,한솥밥,"1,000"
95,현미밥,"1,700"
96,리얼꿀 미니호떡,"2,200"
